id,marca,nome,categoria,tipo_pele,preocupacao,modo_uso,ingrediente_principal,fps,tamanho_ml,preco_brl,avaliacao,num_avaliacoes,fonte,descricao,imagem_url,link_produto,slug
1,La Roche-Posay,Effaclar Duo(+) M,Hidratante,Oleosa;Mista,Acne;Oleosidade;Poros Dilatados,Manhã e Noite,Ácido Salicílico,,40,,,,Época Cosméticos,Tratamento anti-imperfeições com efeito matificante e correção de manchas residuais de acne.,https://placehold.co/400x400?text=effaclar+duo+plus+m,https://www.epocacosmeticos.com.br/creme-facial-antimarcas-la-roche-posay-effaclar-duo-m/p,la-roche-posay-effaclar-duo-plus-m
2,La Roche-Posay,Effaclar Gel de Limpeza,Limpeza,Oleosa;Mista,Acne;Oleosidade,Manhã e Noite,Zinco PCA,,200,,,,Época Cosméticos,Gel de limpeza para peles oleosas e com tendência a acne.,https://placehold.co/400x400?text=effaclar+gel+de+limpeza,https://www.epocacosmeticos.com.br/effaclar-gel-la-roche-posay-limpador-facial/p,la-roche-posay-effaclar-gel-de-limpeza
3,La Roche-Posay,Toleriane Dermallergo Creme,Hidratante,Sensível;Seca,Sensibilidade/Rosácea;Hidratação,Manhã e Noite,Manteiga de Karité,,40,,,,Cosmetis,"Hidratante para peles sensíveis e reativas, sem perfume.",https://placehold.co/400x400?text=toleriane+dermallergo+creme,https://www.cosmetis.com.br/la-roche-posay-toleriane-dermallergo-creme-40ml.html,la-roche-posay-toleriane-dermallergo-creme
4,La Roche-Posay,Anthelios XL,Protetor Solar,Todos os tipos,Fotoenvelhecimento,Manhã,Filtro UVA/UVB,60,50,,,,Época Cosméticos,Protetor solar de alta proteção para peles sensíveis.,https://placehold.co/400x400?text=anthelios+xl,https://www.epocacosmeticos.com.br/protetor-solar-la-roche-posay-anthelios-xl-protect-fps60/p,la-roche-posay-anthelios-xl
5,La Roche-Posay,Cicaplast Baume B5,Hidratante,Sensível;Seca,Sensibilidade/Rosácea;Hidratação,Manhã e Noite,Pantenol,,40,,,,Época Cosméticos,Bálsamo reparador multiuso para peles irritadas ou fragilizadas.,https://placehold.co/400x400?text=cicaplast+baume+b5,https://www.epocacosmeticos.com.br/cicaplast-baume-b5-la-roche-posay-hidratante-reparador/p,la-roche-posay-cicaplast-baume-b5
6,La Roche-Posay,Hyalu B5 Sérum,Sérum,Todos os tipos,Hidratação;Rugas e Linhas Finas,Manhã e Noite,Ácido Hialurônico,,30,,,,Época Cosméticos,Sérum antienvelhecimento com dupla ação de ácido hialurônico.,https://placehold.co/400x400?text=hyalu+b5+serum,https://www.epocacosmeticos.com.br/serum-anti-idade-la-roche-posay-hyalu-b5-repair/p,la-roche-posay-hyalu-b5-serum
7,La Roche-Posay,Mela B3 Sérum,Sérum,Todos os tipos,Manchas,Noite,Niacinamida,,30,,,,Amazon.com.br,Sérum para redução de manchas e uniformização do tom de pele.,https://placehold.co/400x400?text=mela+b3+serum,https://www.amazon.com.br/Roche-Antimanchas-Melasyl-Patenteado-Niacinamida/dp/B0D6Z9YQFD,la-roche-posay-mela-b3-serum
8,La Roche-Posay,Lipikar Baume AP+M,Hidratante,Seca,Hidratação;Sensibilidade/Rosácea,Manhã e Noite,Manteiga de Karité,,200,,,,Época Cosméticos,Bálsamo emoliente para peles muito secas.,https://placehold.co/400x400?text=lipikar+baume+applusm,https://www.epocacosmeticos.com.br/creme-hidratante-la-roche-posay-lipkar-baume-ap-m/p,la-roche-posay-lipikar-baume-applusm
9,La Roche-Posay,Effaclar Micro-Peeling Ultra Fino,Esfoliante,Oleosa;Mista,Textura Irregular;Poros Dilatados,Noite,Ácido Salicílico,,40,,,,,Esfoliante facial suave para peles oleosas.,https://placehold.co/400x400?text=effaclar+micro+peeling+ultra+fino,,la-roche-posay-effaclar-micro-peeling-ultra-fino
10,La Roche-Posay,Pigmentclar Olhos,Contorno de Olhos,Todos os tipos,Olheiras;Manchas,Manhã e Noite,Vitamina C,,15,,,,Época Cosméticos,Creme para contorno dos olhos com efeito iluminador.,https://placehold.co/400x400?text=pigmentclar+olhos,https://www.epocacosmeticos.com.br/pigmentclar-eyes-la-roche-posay-tratamento-para-o-contorno-dos-olhos/p,la-roche-posay-pigmentclar-olhos
